ingredient,scientific_name,description,who_should_avoid,category,strength
Alpha-Glucan Oligosaccharide,,"Prebiotics offer benefits such as:

- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.

- Support the skin's natural defences against harmful microorganisms, contributing to overall skin health.

- Enhance the skin's barrier function, reducing moisture loss and improving hydration.

- Can have a calming effect on the skin, helping to soothe and alleviate inflammation and irritation.","[' ', 'Related Allergy']",,
Aloe Vera,,"Aloe vera offers multiple benefits for the skin. It helps to soothe and calm irritated or sunburned skin, reducing redness and discomfort. Aloe vera also provides hydration and moisture, promoting a plump and healthy-looking complexion. Additionally, it contains antioxidants that help protect the skin against environmental damage and premature aging.","[' ', 'Related Allergy']",,
Allantoin,,"Allantoin is a calming, anti-inflammatory, and hydrating ingredient which promotes wound healing by stimulating fibroblasts in the dermis.","[' ', 'Related Allergy']",,
Algin,,"In skincare products, it is used for its excellent water-binding properties to impart hydration and plumpness to the skin. In cosmetic product formulation, it is used as a thickening agent to improve the texture and viscosity of formulations.","[' ', 'Related Allergy']",,
Algae Extract,,"Algae extracts are multifunctional ingredients, providing hydrating, soothing, and antioxidant benefits. They also act as thickening and water-binding agents in formulations.","[' ', 'Related Allergy']",,
Algae Exopolysaccharides,,"In skincare, they are are used to protect from external stressors such as UV and free radicals, as well as provide hydration due to their humectant structure.","[' ', 'Related Allergy']",,
Alaria Esculenta Extract,,"Provides soothing, hydrating, firming and antioxidant benefits.","[' ', 'Related Allergy']",,
Alanine,,It can help to support water transport between skin cells to keep our surface smooth and hydrated.,"[' ', 'Related Allergy']",,
Ahnfeltia Concinna Extract,,"Provides soothing and antioxidant products to the skin, and increases the viscosity of formulations.","[' ', 'Related Allergy']",,
Adenosine,,"Provides soothing and skin-restoring properties, and studies indicate potential for anti-ageing and wrinkle improvement.","[' ', 'Related Allergy']",,
Acetyl Tyrosinamide,,Acetyl Tyrosinamide is used in skincare to treat fine lines and wrinkles and support the skin's elasticity.,"[' ', 'Related Allergy']",,
Acetyl Tetrapeptide,,"Acetyl Tetrapeptide is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Related Allergy']",,
Acetyl Glucosamine,,"Acetyl Glucosamine is used in skincare to treat red and sensitive skin with hyperpigmentation, and for those who are looking to treat fine lines and wrinkles.","[' ', 'Related Allergy']",,
